"lat","long","elev","time","duration","ID","day"
39.984683,116.31845,492,2008-10-23 10:53:10,8.30055555555556,0,"Thursday"
40.009328,116.320887,83,2008-10-23 19:11:12,8.30055555555556,0,"Thursday"
40.008413,116.319962,491,2008-10-24 10:10:04,37.0333333333333,0,"Friday"
40.009209,116.321162,84,2008-10-24 10:47:06,37.0333333333333,0,"Friday"
39.907374,116.370074,93,2008-10-26 21:44:12,1.33194444444444,0,"Sunday"
39.926426,116.320399,167,2008-10-26 23:04:07,1.33194444444444,0,"Sunday"
39.994622,116.326757,492,2008-10-27 19:54:52,11.0333333333333,0,"Monday"
40.008796,116.321834,521,2008-10-27 20:05:54,11.0333333333333,0,"Monday"
40.012594,116.297269,490,2008-10-28 08:38:31,4.41972222222222,0,"Tuesday"
40.007298,116.319285,-85,2008-10-28 13:03:42,4.41972222222222,0,"Tuesday"
39.994315,116.326758,492,2008-10-29 17:21:43,8.75,0,"Wednesday"
39.981814,116.322374,3587,2008-10-29 17:30:28,8.75,0,"Wednesday"
39.991551,116.326653,163,2008-10-29 17:30:43,16,0,"Wednesday"
39.966701,116.327688,67,2008-10-29 17:46:43,16,0,"Wednesday"
40.000032,116.326175,492,2008-11-03 18:13:41,2.33333333333333,0,"Monday"
39.996785,116.326341,489,2008-11-03 18:16:01,2.33333333333333,0,"Monday"
39.996849,116.325763,491,2008-11-04 07:21:58,4.15277777777778,0,"Monday"
39.999659,116.324747,317,2008-11-04 11:31:08,4.15277777777778,0,"Tuesday"
39.997666,116.32653,96,2008-11-10 09:36:42,2.15833333333333,0,"Monday"
39.997979,116.327042,129,2008-11-10 11:46:12,2.15833333333333,0,"Monday"
40.011438,116.29693,144,2008-11-11 08:17:09,2.3125,0,"Tuesday"
40.00661,116.319346,295,2008-11-11 10:35:54,2.3125,0,"Tuesday"
39.995833,116.326268,492,2008-11-12 10:30:08,2.65166666666667,0,"Wednesday"
40.007588,116.31928,137,2008-11-12 13:09:14,2.65166666666667,0,"Wednesday"
40.008887,116.321587,491,2008-11-12 17:14:05,2.08333333333333,0,"Wednesday"
40.010152,116.323065,501,2008-11-12 17:16:10,2.08333333333333,0,"Wednesday"
40.00843,116.321055,492,2008-11-13 11:46:13,10.4216666666667,0,"Thursday"
40.007427,116.319333,122,2008-11-13 22:11:31,10.4216666666667,0,"Thursday"
40.007491,116.319698,492,2008-11-14 09:53:00,5.255,0,"Friday"
40.001794,116.324765,907,2008-11-14 15:08:18,5.255,0,"Friday"
39.998784,116.324539,493,2008-11-14 18:14:41,6.25805555555556,0,"Friday"
40.007413,116.319491,164,2008-11-15 00:30:10,6.25805555555556,0,"Friday"
40.007488,116.31968,61,2008-11-15 09:01:38,3.13527777777778,0,"Saturday"
40.005403,116.32107,185,2008-11-15 12:09:45,3.13527777777778,0,"Saturday"
39.999021,116.324136,492,2008-11-16 16:55:37,50,0,"Sunday"
39.999497,116.323903,494,2008-11-16 16:56:27,50,0,"Sunday"
40.007604,116.32158,492,2008-11-17 13:11:38,6.91666666666667,0,"Monday"
39.998616,116.324511,543,2008-11-17 13:18:33,6.91666666666667,0,"Monday"
40.000042,116.324436,492,2008-11-17 23:52:28,25.1666666666667,0,"Monday"
40.00737,116.319556,217,2008-11-18 00:17:38,25.1666666666667,0,"Monday"
40.009555,116.321465,-14,2008-11-18 17:50:10,3.75,0,"Tuesday"
40.013811,116.323001,576,2008-11-18 17:53:55,3.75,0,"Tuesday"
40.010601,116.322636,452,2008-11-18 17:54:05,1.92527777777778,0,"Tuesday"
39.992373,116.333267,201,2008-11-18 19:49:36,1.92527777777778,0,"Tuesday"
39.999689,116.324636,32,2008-11-19 00:20:13,25,0,"Tuesday"
39.999762,116.324581,26,2008-11-19 00:20:38,25,0,"Tuesday"
40.008302,116.321255,47,2008-11-19 09:28:11,6.41666666666667,0,"Wednesday"
39.999994,116.324469,314,2008-11-19 09:34:36,6.41666666666667,0,"Wednesday"
40.000522,116.324638,492,2008-11-19 19:20:40,2.48777777777778,0,"Wednesday"
39.986423,116.300303,244,2008-11-19 21:49:56,2.48777777777778,0,"Wednesday"
40.000003,116.322338,-169,2008-11-20 11:57:41,10.8333333333333,0,"Thursday"
40.009369,116.320253,154,2008-11-20 12:08:31,10.8333333333333,0,"Thursday"
40.01044,116.320569,491,2008-11-21 12:09:41,25,0,"Friday"
40.010622,116.320582,492,2008-11-21 12:10:06,25,0,"Friday"
40.008614,116.321365,492,2008-11-21 19:30:43,3.25,0,"Friday"
40.009273,116.321942,126,2008-11-21 19:33:58,3.25,0,"Friday"
40.007671,116.322438,493,2008-11-22 09:23:14,4.55722222222222,0,"Saturday"
39.976842,116.310288,419,2008-11-22 13:56:40,4.55722222222222,0,"Saturday"
39.999335,116.325021,492,2008-11-23 18:21:58,8.16666666666667,0,"Sunday"
39.994259,116.325632,-326,2008-11-23 18:30:08,8.16666666666667,0,"Sunday"
39.998715,116.323732,492,2008-12-01 19:18:32,16.7166666666667,0,"Monday"
40.007157,116.319321,158,2008-12-01 19:35:15,16.7166666666667,0,"Monday"
40.009802,116.320492,491,2008-12-02 15:11:41,3.75,0,"Tuesday"
40.007338,116.322653,590,2008-12-02 15:15:26,3.75,0,"Tuesday"
40.004073,116.32206,576,2008-12-02 15:15:36,8.93833333333333,0,"Tuesday"
40.007543,116.319407,492,2008-12-03 00:11:54,8.93833333333333,0,"Tuesday"
39.999831,116.324756,492,2008-12-03 11:23:31,7.08333333333333,0,"Wednesday"
40.009131,116.321393,30,2008-12-03 11:30:36,7.08333333333333,0,"Wednesday"
39.999705,116.324358,280,2008-12-03 23:12:11,42.2333333333333,0,"Wednesday"
40.007282,116.319651,264,2008-12-03 23:54:25,42.2333333333333,0,"Wednesday"
40.009017,116.321227,109,2008-12-04 07:49:44,10.6666666666667,0,"Wednesday"
39.999965,116.324559,241,2008-12-04 08:00:24,10.6666666666667,0,"Thursday"
39.996354,116.317306,74,2008-12-10 10:35:08,5.45944444444444,0,"Wednesday"
40.000366,116.324514,199,2008-12-10 16:02:42,5.45944444444444,0,"Wednesday"
40.008467,116.321618,492,2008-12-11 12:46:29,10,0,"Thursday"
40.008617,116.321584,492,2008-12-11 12:46:39,10,0,"Thursday"
40.004538,116.317812,152,2008-12-11 20:14:37,9.91666666666667,0,"Thursday"
39.999894,116.324407,375,2008-12-11 20:24:32,9.91666666666667,0,"Thursday"
40.00743,116.32339,490,2008-12-12 12:25:30,2.28805555555556,0,"Friday"
40.008498,116.322226,165,2008-12-12 14:42:47,2.28805555555556,0,"Friday"
40.000185,116.325007,-12,2008-12-12 18:12:41,9.83333333333333,0,"Friday"
40.010335,116.323278,223,2008-12-12 18:22:31,9.83333333333333,0,"Friday"
40.007177,116.319355,22,2008-12-14 09:10:41,13.8333333333333,0,"Sunday"
39.995825,116.327565,461,2008-12-14 09:24:31,13.8333333333333,0,"Sunday"
39.999924,116.326475,492,2009-03-30 08:52:13,15.3147222222222,0,"Monday"
40.00983,116.315233,118,2009-03-31 00:11:06,15.3147222222222,0,"Monday"
40.006816,116.317435,489,2009-03-31 08:39:09,10.8780555555556,0,"Tuesday"
39.990672,116.31725,144,2009-03-31 19:31:50,10.8780555555556,0,"Tuesday"
